# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.7298402422207669,1.5255469480291741,0.4793223165101782,143.52273406116072,0.1379110724305906,-3.000000000000006,-157.47676100444764,0.0,-1232.2917632015171,0.0
 0.7432351999009509,1.5245968210538847,0.48058243439660375,127.01623804343714,0.09772619939003875,-2.999999999999999,-314.12263820784904,0.0,-1867.1685565814773,0.0
 0.7572991280694936,1.5243516225627929,0.48187313132232673,100.75651358511362,0.08910369805348298,-0.6130933856617679,-377.85902274172133,0.0,-2150.046042148828,0.0
 0.771096799651734,1.5248040637178422,0.4831939180666934,71.09088440884821,0.11326821392553499,1.751347372491108,-233.83264917679563,0.0,-1606.0173349642787,0.0
 0.7843787936429062,1.5259468556809757,0.4845443054090498,49.759771816134375,0.15311419589905134,2.999999999999996,-108.9171495136178,0.0,-958.9324476470775,0.0
 0.7976095535008915,1.5277727096141374,0.4859238041287421,37.07236688128585,0.19280647547300714,2.999999999999998,-52.044090666208426,0.0,-571.2296426874511,0.0
 0.8110857259998243,1.5302743366792704,0.4873319250051164,29.374377679925985,0.23323499296980574,3.000000000000004,-27.477454227148492,0.0,-364.6994321440677,0.0
 0.824798255079738,1.533444448038318,0.4887681788175189,24.37342611122244,0.27437258020954686,2.999999999999998,-15.937391956069458,0.0,-249.19733228540585,0.0
 0.8386914781230647,1.5372757548532245,0.49023207634529564,20.911271991979316,0.3160522493395266,2.999999999999988,-9.97349608379696,0.0,-179.90070090264192,0.0
 0.8527133421163965,1.5417609682859326,0.49172312836779286,18.388728831617403,0.35811784131952196,2.999999999999992,-6.626839338681031,0.0,-135.60679147810197,0.0
 0.8668230315825621,1.5468927994983859,0.49324084566435655,16.475359114358305,0.40044690971801883,2.999999999999996,-4.61797532251983,0.0,-105.76651515796556,0.0
 0.8809898395092934,1.5526639596525278,0.494784739014333,14.976985209035693,0.4429473334982127,2.999999999999996,-3.344151430112881,0.0,-84.78065415706855,0.0
 0.8951907729986999,1.5590671599103019,0.49635431919706824,13.773020778162794,0.4855501339664321,3.000000000000008,-2.499218632522144,0.0,-69.49165385041671,0.0
 0.9094084779808969,1.566095111433652,0.4979490969919084,12.785008944992617,0.528203248913023,2.999999999999992,-1.9174104290892178,0.0,-58.022082699324145,0.0
 0.923629691125306,1.5737405253845211,0.49956858317819963,11.959864539842991,0.5708668883462503,2.999999999999992,-1.5039815560429004,0.0,-49.20377258421189,0.0
 0.9378441332429247,1.5819961129248528,0.501212288535288,11.26046036247624,0.6135102146991063,2.999999999999992,-1.2022308120086667,0.0,-42.281028504124066,0.0
 0.9520437254451295,1.5908545852165905,0.5028797238425199,10.66008699982788,0.6561089913057208,3.000000000000008,-0.9768613011979616,0.0,-36.74834412454824,0.0
 0.966222031695468,1.600308653421678,0.504570399879241,10.139057722637205,0.6986439100567363,2.999999999999992,-0.8051398653788706,0.0,-32.257626873572256,0.0
 0.9803738585703258,1.6103510287020582,0.5062838274247978,9.682553371728654,0.7410993906813095,3.0,-0.6719846588295645,0.0,-28.563044417630238,0.0
 0.9944949644861587,1.6209744222196747,0.5080195172585363,9.279211596228656,0.7834627084288082,2.999999999999992,-0.5671262464862361,0.0,-25.487087480467476,0.0
 1.0085818457950684,1.6321715451364716,0.5097769801598028,8.920178019981513,0.8257233523555375,3.0000000000000235,-0.48340936477651203,0.0,-22.89904193297816,0.0
